EQID,Earthquake Name,Moment Magnitude,Magnitude Type,Finite Fault Flag,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Total Fault Length (km),Total Fault Width (km),Total Rectangular Fault Area (km*km),Number of fault rectangular segments,Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner (ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km)
59,Mammoth Lakes-04,5.70,Mw,0,37.625,-118.859,5,7.8,4,31.5,1,1,22,50,7.8,4,28,37.5719,-118.9007,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mammoth Lakes-05,5.70,Mw,0,37.543,-118.888,4.7,5.9,6.4,37.5,1,1,15.8,60,5.9,6.4,0,37.5274,-118.9255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Mammoth Lakes-06,5.94,Mw,0,37.506,-118.826,14,9.2,5.3,48.4,1,1,22,50,9.2,5.3,-28,37.4798,-118.8744,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mammoth Lakes-07,4.73,Mw,0,37.595,-118.791,6,2.2,2.6,5.9,1,1,9.9,75,2.2,2.6,0,37.5853,-118.7983,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Mammoth Lakes-08,4.80,Mw,0,37.595,-118.785,6,2.1,2.3,4.8,1,1,9.9,75,2.1,2.3,0,37.5883,-118.792,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Victoria, Mexico",6.33,Mw,1,32.185,-115.076,11,30,10,300,1,1,318,90,30,10,0,32.1182,-115.005,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Mammoth Lakes-09,4.85,Mw,0,37.546,-118.8823,7.6,1.3,2.2,2.9,1,1,135.3,67.5,1.3,2.2,0,37.554,-118.8835,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Almiros, Greece",5.20,MS,0,39.28,22.87,7,3.9,2.8,10.9,1,1,332.4,55,3.9,2.8,-90,39.258,22.8732,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Trinidad,7.20,MS,0,41.074,-124.61,15.1,52.6,12.9,678.6,1,1,48,90,52.6,12.9,0,40.9026,-124.8615,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Irpinia, Italy-01",6.90,Mw,1,40.8059,15.3372,9.5,47,15,705,1,1,312.8,60,47,15,-90,40.627,15.488,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Irpinia, Italy-02",6.20,Mw,1,40.8464,15.3316,7,15,10.1,151.5,1,1,124,70,15,10.1,-90,40.896,15.293,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Irpinia, Italy-03",4.70, U,0,40.85,15.28,15,2.9,2.4,6.9,1,1,105.2,65,2.9,2.4,-90,40.8637,15.2529,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Taiwan SMART1(5),5.90,Mw,0,24.4292,121.8963,11.1,8.9,4.6,41,1,1,109,64,8.9,4.6,64,24.4593,121.8534,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Corinth, Greece",6.60,Mw,1,38.1175,22.8708,7.2,37,13,481,1,1,290,44,37,13,-60,37.9406,23.2382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Westmorland,5.90,Mw,1,33.1,-115.62,2.3,10,7,70,1,1,64,90,10,7,0,33.0764,-115.6778,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mammoth Lakes-10,5.34,Mw,0,37.63,-118.93,3,4.6,5.4,25.1,1,1,287.9,90,4.6,5.4,180,37.6233,-118.9038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Mammoth Lakes-11,5.31,Mw,0,37.63,-118.94,4.5,4.4,3.5,15.3,1,1,279.9,90,4.4,3.5,180,37.6259,-118.9106,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Coalinga-01,6.36,Mw,1,36.233,-120.31,4.6,16,11,176,1,1,137,30,16,11,90,36.2903,-120.3458,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Coalinga-02,5.09,Mw,0,36.246,-120.299,12,4.1,4.6,18.9,1,1,136,44,4.1,4.6,106,36.2723,-120.3072,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Coalinga-03,5.38,Mw,0,36.256,-120.45,2.4,7.3,5,36.4,1,1,17,50,7.3,5,90,36.2369,-120.4807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Coalinga-04,5.18,Mw,0,36.251,-120.4,9,3.7,4.9,18.4,1,1,18,41,3.7,4.9,116,36.244,-120.4375,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Coalinga-05,5.77,Mw,0,36.241,-120.409,7.4,6.3,6.1,38.3,1,1,355,38,6.3,6.1,102,36.2064,-120.4337,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Coalinga-06,4.89,Mw,0,36.222,-120.407,7.9,3.3,2.4,8.1,1,1,341.9,30,3.3,2.4,85,36.2055,-120.4232,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Coalinga-07,5.21,Mw,0,36.229,-120.398,8.4,4.5,4.6,21,1,1,348.1,38,4.5,4.6,90,36.2082,-120.4111,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Ierissos, Greece",6.70,Mw,1,40.18,24.73,9,42,14,588.2,1,1,48,83,42,14,-174,39.9636,24.3999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Trinidad offshore,5.70,MS,0,40.3732,-124.9227,11.9,7.7,4.3,33.1,1,1,195,66,7.7,4.3,28,40.4093,-124.8928,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Coalinga-08,5.23,Mw,0,36.224,-120.232,6.7,5.2,4.3,22.1,1,1,334,75,5.2,4.3,161,36.21,-120.2322,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Taiwan SMART1(25),6.50,MS,0,23.9382,122.3167,18,22.8,14.7,335.7,1,1,73,80,22.8,14.7,80,23.9289,122.2337,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Borah Peak, ID-01",6.88,Mw,1,43.967,-113.9,16,41,20.3,832.5,1,1,152,52,41,20.3,-70,44.3403,-114.0013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Borah Peak, ID-02",5.10,Mw,0,44.239,-114.07,10,3.5,3.4,12.1,1,1,309,51,3.5,3.4,-65,44.2156,-114.0691,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,New Zealand-01,5.50,ML,0,-38.92,175.78,9,12.5,6.4,79.7,1,1,15.5,53,12.5,6.4,-90,-38.9786,175.7193,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Morgan Hill,6.19,Mw,1,37.306,-121.695,8.5,27,11.5,310.5,1,1,148,90,27,11.5,180,37.3098,-121.6979,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Lazio-Abruzzo, Italy",5.30,Mw,1,41.71,13.902,14,6,8.1,48.6,1,1,123,48,6,8.1,-96,41.7653,13.9071,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Veroia, Greece",5.00,MS,0,40.68,21.9,5,5.5,3.5,19.2,1,1,194.2,55,5.5,3.5,-90,40.6945,21.9193,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Pelekanada, Greece",5.82,MS,0,36.96,23.6,81,4.1,1.9,7.8,1,1,354.2,55,4.1,1.9,-90,36.9376,23.5915,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bishop (Rnd Val),5.80,Mw,0,37.46,-118.59,9,4.6,6.1,27.8,1,1,207.9,86,4.6,6.1,10,37.481,-118.5723,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Taiwan SMART1(33),5.80,MS,0,24.573,122.1947,3.3,7.1,4.4,31.7,1,1,248.9,61.5,7.1,4.4,-90,24.569,122.2301,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Drama, Greece",5.20,Mw,1,41.2253,23.9951,10.8,10,12,120,1,1,235,72,10,12,-121,41.2124,24.0435,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Nahanni, Canada",6.76,Mw,1,62.187,-124.243,8,33.6,17.6,591.5,1,1,160,25,33.6,17.6,90,62.3816,-124.1314,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Hollister-04,5.45,Mw,0,36.804,-121.2847,8.7,2.9,3.9,11.2,1,1,350,90,2.9,3.9,165,36.7985,-121.2835,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mt. Lewis,5.60,Mw,0,37.4788,-121.6858,9.2,7.8,4.9,38,1,1,355,80,7.8,4.9,175,37.4475,-121.6897,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Taiwan SMART1(40),6.32,Mw,0,24.0817,121.5915,15.8,13.8,11.8,163.5,1,1,43,57,13.8,11.8,100,24.0682,121.5453,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,N. Palm Springs,6.06,Mw,1,34,-116.6117,11,20,13.3,266.1,1,1,287,46,20,13.3,150,33.9172,-116.5368,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Chalfant Valley-01,5.77,Mw,1,37.576,-118.448,6.7,7.5,6,45,1,1,48,90,7.5,6,20,37.5625,-118.4667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Chalfant Valley-02,6.19,Mw,1,37.5383,-118.443,10,15,8,119.9,1,1,148,55,15,8,-163,37.625,-118.4542,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Chalfant Valley-03,5.65,Mw,0,37.569,-118.525,5,4.5,7,31.6,1,1,173.7,90,4.5,7,0,37.5938,-118.5285,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Chalfant Valley-04,5.44,Mw,0,37.592,-118.473,9.2,5.6,4.9,27.5,1,1,345.1,90,5.6,4.9,160,37.5685,-118.4651,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Kalamata, Greece-01",6.20,MS,0,37.1,22.19,5,9,8.1,73.5,1,1,313.4,55,9,8.1,-90,37.0753,22.1653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Kalamata, Greece-02",5.40,MS,0,37.08,22.07,5,6.3,3.9,24.9,1,1,332.3,55,6.3,3.9,-90,37.0486,22.0693,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,San Salvador,5.80,Mw,1,13.633,-89.2,10.9,8,7,56,1,1,32,85,8,7,0,13.6198,-89.2132,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Taiwan SMART1(45),7.30,Mw,0,23.9918,121.8332,15,50.6,23.9,1208.9,1,1,43,57,50.6,23.9,100,23.8528,121.5608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Baja California,5.50,Mw,0,32.388,-115.305,6,4.2,3.6,14.9,1,1,112,88,4.2,3.6,160,32.3982,-115.3317,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,New Zealand-02,6.60,Mw,1,-37.92,176.76,6.4,13,10.2,132.6,1,1,235,39,13,10.2,-110,-37.9772,176.8127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,New Zealand-03,5.80,Mw,0,-37.9063,176.7293,11,6,8.1,48.5,1,1,141.1,55,6,8.1,-90,-37.8665,176.7543,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Whittier Narrows-01,5.99,Mw,1,34.0493,-118.081,14.6,10,6,60,1,1,280,30,10,6,150,34.04,-118.0278,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Whittier Narrows-02,5.27,Mw,0,34.06,-118.1035,13.3,4.1,3.6,14.8,1,1,170,70,4.1,3.6,140,34.0802,-118.0985,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Superstition Hills-01,6.22,Mw,1,33.0817,-115.795,10,20,10,200,1,1,40,90,20,10,0,33.0817,-115.795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Superstition Hills-02,6.54,Mw,1,33.0222,-115.8314,9,20,12,240,1,1,127,90,20,12,180,33.033,-115.8485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Spitak, Armenia",6.77,Mw,0,40.91,44.25,6,29.5,29.1,858.3,1,1,302,59,29.5,29.1,143,40.7986,44.4045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Loma Prieta,6.93,Mw,1,37.0407,-121.8829,17.5,40,18,719.8,1,1,128,70,40,18,140,37.187,-122.0259,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Griva, Greece",6.10,Mw,1,40.9692,22.3757,9.4,17.5,16,280,1,1,54,47,17.5,16,-103,41.0332,22.3141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Georgia, USSR",6.20,MS,0,42.44,44.03,6,24.4,9.3,225.5,1,1,325,30,24.4,9.3,90,42.2743,44.0937,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Erzican, Turkey",6.69,Mw,1,39.705,39.587,9,29,8,232.1,1,1,122,63,29,8,-164,39.7924,39.465,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Roermond, Netherlands",5.30,Mw,0,51.17,5.925,14.6,6.1,5.1,31,1,1,124,68,6.1,5.1,-94,51.2029,5.8954,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Cape Mendocino,7.01,Mw,1,40.327,-124.233,9.5,20,28,559.7,1,1,350,14,20,28,105,40.221,-124.417,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,New Zealand-04,5.70,ML,0,-37.5804,176.8749,5,11.3,7.8,87.9,1,1,166,53,11.3,7.8,-90,-37.508,176.8962,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Landers,7.28,Mw,1,34.2,-116.436,7,71.7,15,1075.8,7,1,356.1,90,15.7,15,180,34.147,-116.432,0,2,8.6,90,3.4,15,180,34.288,-116.4435,0,3,338.5,90,17.7,15,180,34.318,-116.438,0,4,358.8,90,3.3,15,180,34.4657,-116.5086,0,5,325,90,11.1,15,180,34.4951,-116.5094,0,6,295.7,90,4.7,15,180,34.5767,-116.5788,0,7,319.8,90,15.9,15,180,34.595,-116.6252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Big Bear-01,6.46,Mw,0,34.21,-116.83,13,22.4,9.5,213.3,1,1,55,85,22.4,9.5,-10,34.1605,-116.9303,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Northridge-01,6.69,Mw,1,34.2057,-118.5539,17.5,18,24,432.1,1,1,122,40,18,24,103,34.387,-118.598,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Double Springs,5.90,Mw,1,38.823,-119.632,5,10,7,70,1,1,21,81,10,7,-25,38.7401,-119.6767,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129a,"Kobe, Japan",6.90,Mw,1,34.596,135.011,17.9,40,20,799.8,1,1,230,85,40,20,180,34.8159,135.3573,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129b,"Kobe, Japan",0.00,Mw,1,34.587,135.021,17.9,20,20,400.1,1,1,45,80,20,20,180,34.4793,134.843,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"Kozani, Greece-01",6.40,Mw,1,40.1569,21.6746,12.6,27,15.7,424,1,1,253,43,27,15.7,-95,40.08,21.77,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
