,Magnitude,lat,long,depth (km)
"M 0.5 - 12km ESE of Anza, CA",0.5,-116.5595,33.5015,11.159
"M 0.5 - 4km SW of Idyllwild, CA",0.45,-116.7488333,33.7091667,15.188
"M 0.9 - 2km NNW of Valle Vista, CA",0.93,-116.9041667,33.7631667,7.811
"M 0.8 - 3km SE of Lake Henshaw, CA",0.76,-116.7441667,33.2215,4.575
"M 0.7 - 8km NW of Anza, CA",0.69,-116.7495,33.5981667,11.804
"M 0.8 - 7km SW of Niland, CA",0.75,-115.5798333,33.1986667,0.233
"M 0.6 - 9km ESE of Valle Vista, CA",0.61,-116.812,33.7091667,13.691
"M 0.7 - 23km SSW of La Quinta, CA",0.74,-116.4078333,33.4738333,14.487
"M 0.9 - 5km NNW of Cabazon, CA",0.85,-116.804,33.9596667,10.259
"M 1.4 - 17km NNE of Borrego Springs, CA",1.4,-116.2866667,33.3908333,11.202
"M 1.7 - 8km WNW of Borrego Springs, CA",1.71,-116.4536667,33.275,1.323
"M 1.5 - 5km N of Yucca Valley, CA",1.51,-116.441,34.1578333,11.106
"M 1.0 - 5km N of Yucca Valley, CA",1.0,-116.4403333,34.1563333,11.756
"M 0.6 - 6km S of Idyllwild, CA",0.63,-116.7083333,33.682,16.555
"M 1.7 - 13km SE of Anza, CA",1.68,-116.5873333,33.4638333,9.679
"M 2.1 - 10km ESE of North Shore, CA",2.09,-115.8296667,33.5046667,9.526
"M 1.1 - 6km SSE of Banning, CA",1.06,-116.859,33.8686667,11.636
"M 0.8 - 7km SE of Idyllwild, CA",0.78,-116.6748333,33.6871667,16.488
"M 0.9 - 20km ESE of Anza, CA",0.93,-116.4773333,33.4863333,11.674
"M 1.2 - 8km N of Big Bear Lake, CA",1.23,-116.9246667,34.3128333,3.047
"M 0.8 - 21km ESE of Anza, CA",0.78,-116.4598333,33.4935,13.352
"M 1.8 - 7km S of Warner Springs, CA",1.8,-116.6391667,33.2198333,13.023
"M 0.8 - 4km N of Lake Henshaw, CA",0.83,-116.768,33.2818333,7.457
"M 0.5 - 5km SE of Idyllwild, CA",0.49,-116.6906667,33.7051667,16.818
"M 0.5 - 8km S of Idyllwild, CA",0.5,-116.72,33.672,13.637
