,Magnitude,lat,long,depth (km)
"M 1.8 - 11km NNW of Progreso, B.C., MX",1.75,-115.6461667,32.6621667,5.613
"M 0.4 - 12km SE of Anza, CA",0.42,-116.5671667,33.4951667,7.549
"M 1.2 - 13km NW of Progreso, B.C., MX",1.15,-115.669,32.6695,3.033
"M 1.1 - 13km NW of Progreso, B.C., MX",1.12,-115.6638333,32.6748333,8.413
"M 1.9 - 12km NNW of Progreso, B.C., MX",1.87,-115.6511667,32.67,5.603
"M 1.8 - 12km NW of Progreso, B.C., MX",1.83,-115.6576667,32.6716667,6.073
"M 1.5 - 12km NW of Progreso, B.C., MX",1.47,-115.655,32.6686667,5.354
"M 2.3 - 14km N of Ocotillo, CA",2.33,-115.9786667,32.8606667,11.514
"M 2.1 - 11km NW of Progreso, B.C., MX",2.1,-115.6516667,32.6585,5.193
"M 1.9 - 11km NNW of Progreso, B.C., MX",1.94,-115.6428333,32.6631667,5.163
"M 0.0 - 10km ESE of Anza, CA",0.02,-116.5716667,33.5251667,12.262
"M 2.0 - 7km NNW of Progreso, B.C., MX",2.01,-115.6175,32.6371667,8.273
"M 1.4 - 3km W of Borrego Springs, CA",1.4,-116.4071667,33.2566667,5.915
"M 1.6 - 14km NW of Progreso, B.C., MX",1.64,-115.674,32.6773333,4.353
"M 1.2 - 16km E of Ocotillo, CA",1.24,-115.8236667,32.723,4.553
"M 0.7 - 16km ESE of Ocotillo, CA",0.73,-115.828,32.7035,4.913
"M 0.4 - 10km NNW of Progreso, B.C., MX",0.4,-115.637,32.6543333,5.073
"M 1.9 - 10km NW of Progreso, B.C., MX",1.87,-115.6458333,32.6568333,4.943
"M 1.6 - 7km NNW of Progreso, B.C., MX",1.6,-115.6058333,32.6433333,5.508
"M 1.7 - 5km NNE of Beaumont, CA",1.67,-116.9505,33.9646667,6.082
"M 1.1 - 13km N of Borrego Springs, CA",1.08,-116.3553333,33.3746667,12.675
"M 1.1 - 3km W of Borrego Springs, CA",1.09,-116.4043333,33.2556667,7.005
"M 1.6 - 3km W of Borrego Springs, CA",1.64,-116.4104996,33.2560005,5.045
"M 1.6 - 13km NW of Progreso, B.C., MX",1.56,-115.668663,32.6694984,5.743
"M 1.9 - 5km WSW of Morongo Valley, CA",1.88,-116.6326667,34.0375,12.155
"M 1.3 - 4km NE of Westmorland, CA",1.31,-115.5946667,33.0665,10.459
"M 0.9 - 12km NNE of Cabazon, CA",0.86,-116.7283333,34.0136667,15.695
"M 1.5 - 4km N of Diamond Bar, CA",1.45,-117.8101667,34.0653333,2.142
"M 1.5 - 10km NNW of Progreso, B.C., MX",1.5,-115.6378333,32.6626667,7.483
"M 1.1 - 10km NW of Progreso, B.C., MX",1.05,-115.656,32.6495,7.463
"M 1.7 - 7km W of Holtville, CA",1.67,-115.4511667,32.808,11.388
"M 1.6 - 13km NW of Progreso, B.C., MX",1.55,-115.6626667,32.6713333,4.903
"M 1.3 - 4km NE of Cabazon, CA",1.32,-116.7618332,33.9486656,14.981
"M 1.4 - 4km NNE of Cabazon, CA",1.44,-116.767334,33.9493332,15.511
"M 1.7 - 12km NW of Progreso, B.C., MX",1.74,-115.6605,32.662,5.073
"M 1.1 - 14km NE of Yucaipa, CA",1.11,-116.9193344,34.1096649,8.008
"M 1.1 - 11km NNW of Progreso, B.C., MX",1.1,-115.6423333,32.665,5.288
"M 1.7 - 13km NW of Progreso, B.C., MX",1.71,-115.6623333,32.6761667,5.593
"M 1.0 - 12km NW of Progreso, B.C., MX",1.04,-115.6573333,32.6705,4.963
"M 4.4 - 94 km SSE of Pýrgos, Greece",4.4,25.383,34.174,17.6
"M 1.2 - 1km N of Colton, CA",1.18,-117.3131667,34.0811667,10.795
"M 2.2 - 13km NW of Progreso, B.C., MX",2.22,-115.6586667,32.674,6.598
"M 1.3 - 14km NW of Progreso, B.C., MX",1.3,-115.6796667,32.6788333,4.983
"M 2.8 - 12km NW of Progreso, B.C., MX",2.84,-115.6605,32.6688333,4.783
"M 0.6 - 10km SW of Anza, CA",0.64,-116.7606667,33.4941667,8.74
"M 1.0 - 16km E of Ocotillo, CA",0.96,-115.8266667,32.719,4.843
"M 1.3 - 12km NW of Progreso, B.C., MX",1.32,-115.6575,32.6721667,4.983
"M 1.5 - 12km NW of Progreso, B.C., MX",1.53,-115.66,32.6703333,4.553
"M 2.7 - 14km NW of Progreso, B.C., MX",2.71,-115.6708333,32.6765,4.683
"M 2.5 - 14km NW of Progreso, B.C., MX",2.54,-115.6768333,32.6725,3.263
"M 0.7 - 12km NNW of Progreso, B.C., MX",0.7,-115.6511667,32.6676667,5.003
"M 1.7 - 14km NW of Progreso, B.C., MX",1.68,-115.6803333,32.6768333,4.363
"M 0.5 - 11km NNW of Progreso, B.C., MX",0.5,-115.6451667,32.6633333,5.043
"M 3.0 - 12km NW of Progreso, B.C., MX",3.01,-115.6673333,32.668,4.443
"M 2.1 - 14km NW of Progreso, B.C., MX",2.11,-115.678,32.6781667,3.693
"M 3.1 - 13km NNW of Progreso, B.C., MX",3.13,-115.6615,32.6791667,5.428
"M 0.5 - 12km NNW of Progreso, B.C., MX",0.5,-115.6476667,32.669,4.746
"M 1.2 - 12km NNW of Progreso, B.C., MX",1.16,-115.6526667,32.6703333,5.213
"M 1.5 - 12km NW of Progreso, B.C., MX",1.54,-115.6606667,32.6708333,4.363
"M 1.1 - 14km NW of Progreso, B.C., MX",1.13,-115.6775,32.6735,3.483
"M 2.7 - 14km NW of Progreso, B.C., MX",2.65,-115.665,32.6803333,5.003
"M 2.5 - 13km NW of Progreso, B.C., MX",2.52,-115.6661667,32.6705,2.248
"M 0.9 - 13km WNW of Calipatria, CA",0.9,-115.6463333,33.1596667,0.103
"M 1.3 - 14km NW of Progreso, B.C., MX",1.27,-115.6661667,32.68,5.071
"M 0.5 - 13km NNW of Westmorland, CA",0.5,-115.6658333,33.1488333,0.133
"M 1.0 - 11km NW of Progreso, B.C., MX",1.02,-115.6556667,32.663,4.983
"M 1.6 - 12km NW of Progreso, B.C., MX",1.62,-115.654,32.6651667,4.228
"M 1.3 - 13km NW of Progreso, B.C., MX",1.26,-115.667,32.6766667,4.933
"M 2.8 - 12km NNW of Progreso, B.C., MX",2.77,-115.6538333,32.6753333,5.048
"M 1.6 - 13km NW of Progreso, B.C., MX",1.63,-115.6628333,32.6758333,4.553
"M 1.2 - 12km NNW of Progreso, B.C., MX",1.23,-115.6561667,32.6725,5.078
"M 0.4 - 10km NNW of Progreso, B.C., MX",0.4,-115.6336667,32.6576667,6.654
"M 1.3 - 13km NW of Progreso, B.C., MX",1.27,-115.6671667,32.669,4.743
"M 0.9 - 8km N of Anza, CA",0.9,-116.6765,33.6291667,13.492
"M 0.4 - 14km N of Borrego Springs, CA",0.44,-116.3868333,33.3825,10.01
"M 3.3 - 12km NW of Progreso, B.C., MX",3.29,-115.6606667,32.6618333,3.703
"M 1.9 - 12km NW of Progreso, B.C., MX",1.94,-115.6676667,32.6628333,3.173
"M 2.3 - 12km NW of Progreso, B.C., MX",2.25,-115.6638333,32.6701667,4.703
"M 1.2 - 11km NW of Progreso, B.C., MX",1.19,-115.6503333,32.663,4.953
"M 1.3 - 12km NW of Progreso, B.C., MX",1.27,-115.6603333,32.6673333,5.273
"M 2.0 - 10km NNW of Progreso, B.C., MX",1.95,-115.6386667,32.6598333,5.468
"M 2.2 - 12km NW of Progreso, B.C., MX",2.21,-115.6616667,32.6656667,5.083
"M 2.2 - 10km NW of Progreso, B.C., MX",2.22,-115.6505,32.6525,3.385
"M 1.4 - 13km NW of Progreso, B.C., MX",1.4,-115.6708333,32.6741667,5.433
"M 1.9 - 11km NW of Progreso, B.C., MX",1.91,-115.65,32.6591667,4.278
"M 0.1 - 6km SW of Anza, CA",0.11,-116.7141667,33.5093333,3.217
"M 0.9 - 6km NNW of Progreso, B.C., MX",0.9,-115.6011667,32.6346667,4.613
"M 0.8 - 10km NW of Calipatria, CA",0.75,-115.607,33.179,0.073
"M 1.4 - 12km NNW of Progreso, B.C., MX",1.41,-115.6471667,32.6708333,4.793
"M 1.8 - 12km NW of Progreso, B.C., MX",1.77,-115.6595,32.6731667,5.388
"M 1.0 - 26km WSW of Westmorland, CA",0.98,-115.891,32.9825,6.698
"M 1.2 - 10km NNW of Progreso, B.C., MX",1.24,-115.6408333,32.6606667,4.943
"M 0.6 - 18km ESE of Anza, CA",0.56,-116.4905,33.498,11.534
"M 1.2 - 12km NW of Progreso, B.C., MX",1.21,-115.6615,32.6668333,4.763
"M 0.8 - 22km SSW of La Quinta, CA",0.77,-116.4366667,33.4968333,10.687
"M 1.3 - 11km NNW of Progreso, B.C., MX",1.33,-115.6438333,32.6661667,4.813
"M 1.3 - 12km NW of Progreso, B.C., MX",1.26,-115.6568333,32.6705,4.373
"M 1.4 - 14km NW of Progreso, B.C., MX",1.37,-115.6733333,32.6793333,3.893
"M 1.1 - 12km NW of Progreso, B.C., MX",1.08,-115.6621667,32.668,2.533
"M 0.8 - 4km NNE of Cabazon, CA",0.76,-116.7651667,33.9476667,13.969
"M 2.1 - 4km W of Borrego Springs, CA",2.1,-116.42,33.2538333,4.065
"M 1.2 - 9km NNW of Progreso, B.C., MX",1.22,-115.6355,32.6523333,4.906
"M 1.5 - 5km W of Newport Beach, CA",1.54,-117.9856667,33.6216667,16.6
"M 1.1 - 11km N of Cabazon, CA",1.08,-116.7735,34.0193333,12.346
"M 1.6 - 10km NW of Progreso, B.C., MX",1.63,-115.6488333,32.6521667,5.263
"M 0.9 - 10km NW of Progreso, B.C., MX",0.92,-115.6576667,32.6478333,5.155
"M 2.2 - 8km SW of Salton City, CA",2.23,-116.0286667,33.2575,4.509
"M 0.7 - 12km SE of Anza, CA",0.72,-116.569,33.4941667,7.969
"M 1.3 - 10km NNW of Progreso, B.C., MX",1.3,-115.6375,32.6555,5.453
"M 1.8 - 11km NW of Progreso, B.C., MX",1.84,-115.6528333,32.6646667,5.183
"M 2.0 - 8km NNW of Progreso, B.C., MX",2.04,-115.6281667,32.6411667,10.583
"M 2.0 - 11km NNW of Progreso, B.C., MX",1.96,-115.643,32.6655,5.053
"M 1.5 - 10km NNW of Progreso, B.C., MX",1.49,-115.641,32.6583333,4.643
"M 1.9 - 4km NE of North Shore, CA",1.89,-115.9041667,33.5533333,8.15
"M 1.3 - 12km E of Ocotillo Wells, CA",1.28,-116.0058333,33.1531667,6.956
"M 0.7 - 8km NE of Borrego Springs, CA",0.74,-116.326,33.3158333,6.163
"M 1.6 - 10km NW of Progreso, B.C., MX",1.62,-115.6436667,32.6533333,5.128
"M 1.6 - 11km NW of Progreso, B.C., MX",1.56,-115.6575,32.6566667,2.843
"M 1.4 - 10km NNW of Progreso, B.C., MX",1.42,-115.641,32.6535,5.018
"M 0.7 - 6km SSW of Idyllwild, CA",0.69,-116.7408333,33.6901667,16.148
"M 0.5 - 6km SSW of Idyllwild, CA",0.5,-116.7385,33.6926667,16.552
"M 1.2 - 10km NNW of Progreso, B.C., MX",1.18,-115.6361667,32.6598333,7.423
"M 0.8 - 9km WSW of Niland, CA",0.8,-115.6145,33.2136667,4.133
"M 1.4 - 14km NW of Progreso, B.C., MX",1.37,-115.6708333,32.6768333,5.293
"M 1.8 - 12km NW of Progreso, B.C., MX",1.82,-115.6576667,32.6715,5.278
"M 1.7 - 12km NW of Progreso, B.C., MX",1.71,-115.6596667,32.6655,6.733
"M 1.8 - 11km NW of Progreso, B.C., MX",1.81,-115.653,32.6636667,7.468
"M 2.5 - 4km NE of North Shore, CA",2.45,-115.9003333,33.549,8.557
"M 2.2 - 12km NNW of Progreso, B.C., MX",2.18,-115.6508333,32.6683333,7.098
"M 1.4 - 9km NNW of Progreso, B.C., MX",1.39,-115.6188333,32.6561667,5.283
"M 1.4 - 13km NW of Progreso, B.C., MX",1.39,-115.6701667,32.6745,5.283
"M 0.4 - 19km N of Borrego Springs, CA",0.4,-116.3601667,33.4246667,5.805
"M 1.3 - 14km NW of Progreso, B.C., MX",1.32,-115.6726667,32.677,4.693
"M 0.7 - 6km S of Idyllwild, CA",0.65,-116.728,33.684,15.158
"M 0.8 - 11km NE of Ocotillo Wells, CA",0.8,-116.0465,33.2128333,2.055
"M 1.2 - 11km NNW of Progreso, B.C., MX",1.16,-115.6388333,32.6658333,7.563
"M 1.2 - 12km NNW of Progreso, B.C., MX",1.23,-115.6513333,32.6691667,6.648
"M 1.4 - 13km NW of Progreso, B.C., MX",1.43,-115.6618333,32.673,5.463
"M 1.7 - 14km NW of Progreso, B.C., MX",1.69,-115.6783333,32.6738333,4.613
"M 1.3 - 12km NNW of Progreso, B.C., MX",1.27,-115.654,32.6686667,5.393
"M 0.5 - 12km SE of Anza, CA",0.53,-116.5678333,33.4876667,7.099
"M 0.7 - 7km ENE of Valle Vista, CA",0.74,-116.8191667,33.7718333,19.281
"M 2.2 - 11km NNW of Progreso, B.C., MX",2.21,-115.6491667,32.663,7.398
"M 1.6 - 13km NW of Progreso, B.C., MX",1.57,-115.6685,32.6698333,4.673
"M 0.5 - 1km SSW of Ocotillo, CA",0.45,-115.9986667,32.7271667,9.192
"M 1.6 - 10km NNW of Progreso, B.C., MX",1.56,-115.6455,32.659,5.283
"M 1.0 - 8km NE of Pala, CA",1.02,-117.0266667,33.4248333,7.337
"M 1.0 - 12km NNE of Yucaipa, CA",0.98,-116.9831667,34.1328333,2.9
"M 0.6 - 9km SW of Anza, CA",0.64,-116.7403333,33.4948333,10.646
"M 1.0 - 12km NNE of Julian, CA",0.97,-116.5351667,33.1736667,12.968
"M 2.4 - 4km W of Borrego Springs, CA",2.35,-116.4163333,33.2555,3.263
"M 1.6 - 12km NW of Progreso, B.C., MX",1.59,-115.6621667,32.67,5.013
"M 0.8 - 25km NNW of Joshua Tree, CA",0.75,-116.4218333,34.344,4.655
"M 1.5 - 15km S of Big Bear Lake, CA",1.48,-116.9118333,34.113,7.368
"M 1.0 - 20km ESE of Anza, CA",1.0,-116.4706667,33.5005,14.584
"M 1.6 - 3km WSW of Glendale, CA",1.58,-118.2796667,34.1575,4.9
"M 2.4 - 6km S of Morongo Valley, CA",2.37,-116.5813333,33.9913333,10.303
"M 1.5 - 15km E of Ocotillo, CA",1.47,-115.8338333,32.7221667,5.603
"M 0.4 - 7km SSW of Idyllwild, CA",0.42,-116.755,33.6885,15.34
"M 1.6 - 11km N of Borrego Springs, CA",1.63,-116.3761667,33.3553333,11.546
"M 0.1 - 8km NNE of Valle Vista, CA",0.11,-116.8563333,33.8133333,11.004
"M 2.0 - 14km E of Ocotillo, CA",2.02,-115.8406667,32.7223333,2.763
"M 1.8 - 15km E of Ocotillo, CA",1.82,-115.8305,32.7213333,4.633
"M 0.9 - 22km ESE of Anza, CA",0.92,-116.4468333,33.4888333,13.715
"M 1.7 - 7km S of Idyllwild, CA",1.66,-116.7205,33.6761667,15.687
"M 0.6 - 5km S of Idyllwild, CA",0.64,-116.7146667,33.6961667,16.067
"M 1.3 - 1km NNW of Cabazon, CA",1.27,-116.7933333,33.9266667,11.247
"M 0.9 - 12km NE of Indio, CA",0.85,-116.1213333,33.7946667,5.051
"M 1.2 - 17km E of Desert Hot Springs, CA",1.19,-116.3211667,33.9761667,6.62
"M 1.1 - 8km N of Anza, CA",1.06,-116.6768333,33.622,14.262
"M 1.5 - 23km S of Twentynine Palms, CA",1.51,-116.0463333,33.9356667,5.513
"M 1.3 - 18km N of Borrego Springs, CA",1.29,-116.3768333,33.4223333,10.328
"M 1.3 - 8km SE of Yucca Valley, CA",1.33,-116.3696667,34.0595,8.119
"M 1.2 - 10km S of Borrego Springs, CA",1.2,-116.3841667,33.171,10.854
"M 1.3 - 25km ENE of Pine Valley, CA",1.25,-116.2723333,32.8943333,13.028
"M 1.1 - 19km N of Borrego Springs, CA",1.1,-116.364,33.4261667,13.521
"M 1.2 - 3km SSE of Loma Linda, CA",1.17,-117.2475,34.025,14.103
"M 0.9 - 3km W of Borrego Springs, CA",0.9,-116.4081667,33.2558333,3.053
"M 1.0 - 14km NE of Yucaipa, CA",0.96,-116.9171667,34.1096667,8.447
"M 0.5 - 8km SW of Niland, CA",0.5,-115.5793333,33.1935,0.153
"M 0.4 - 7km SW of Niland, CA",0.4,-115.5775,33.1981667,1.973
"M 0.4 - 7km SW of Niland, CA",0.4,-115.5746667,33.1941667,0.283
"M 0.7 - 8km SW of Niland, CA",0.7,-115.5801667,33.193,0.203
"M 0.4 - 8km SW of Niland, CA",0.4,-115.579,33.1903333,0.113
"M 0.5 - 5km E of Cabazon, CA",0.48,-116.7285,33.9148333,15.702
"M 0.4 - 7km SW of Salton City, CA",0.39,-116.0073333,33.25,6.047
"M 0.7 - 8km SW of Niland, CA",0.7,-115.5786667,33.1945,0.203
"M 0.5 - 7km SW of Niland, CA",0.5,-115.5755,33.195,0.283
"M 1.2 - 8km SW of Niland, CA",1.18,-115.5828333,33.188,0.283
"M 1.6 - 8km SW of Niland, CA",1.56,-115.5813333,33.19,1.203
"M 0.4 - 8km SW of Niland, CA",0.4,-115.5771667,33.1923333,0.504
"M 1.3 - 20km NNW of Borrego Springs, CA",1.33,-116.4573333,33.417,12.376
"M 1.2 - 6km SW of Niland, CA",1.23,-115.5716667,33.201,0.203
"M 0.6 - 8km SW of Niland, CA",0.6,-115.5808333,33.1915,0.243
"M 0.6 - 8km SW of Niland, CA",0.6,-115.5798333,33.1938333,0.213
"M 0.3 - 8km NW of Calipatria, CA",0.3,-115.5796667,33.1788333,0.303
"M 0.8 - 7km SW of Niland, CA",0.8,-115.5778333,33.1958333,0.243
"M 0.6 - 8km SW of Niland, CA",0.6,-115.58,33.1916667,0.194
"M 1.5 - 8km SW of Niland, CA",1.5,-115.5841667,33.1923333,3.153
"M 1.2 - 8km SW of Niland, CA",1.24,-115.5778333,33.1936667,2.673
"M 1.2 - 8km SW of Niland, CA",1.24,-115.5895,33.1941667,3.463
"M 0.7 - 7km SW of Niland, CA",0.7,-115.5773333,33.1963333,0.273
"M 0.5 - 8km SW of Niland, CA",0.5,-115.5813333,33.1881667,0.274
"M 0.5 - 7km SW of Niland, CA",0.5,-115.5688333,33.1971667,0.444
"M 1.4 - 7km SW of Niland, CA",1.42,-115.5778333,33.1988333,0.203
"M 1.7 - 8km SW of Niland, CA",1.68,-115.5766667,33.1896667,0.063
"M 1.9 - 8km SW of Niland, CA",1.85,-115.5856667,33.1956667,3.323
"M 0.7 - 7km SW of Niland, CA",0.7,-115.5755,33.1976667,0.284
"M 1.1 - 15km E of Ocotillo, CA",1.06,-115.8331667,32.7185,9.223
"M 0.5 - 8km SW of Niland, CA",0.5,-115.581,33.1905,0.323
"M 0.6 - 8km SW of Niland, CA",0.6,-115.5798333,33.1961667,0.233
"M 1.0 - 7km SW of Niland, CA",1.0,-115.5736667,33.1946667,0.283
"M 1.6 - 7km SW of Niland, CA",1.55,-115.5693333,33.1935,0.193
"M 1.7 - 8km SW of Niland, CA",1.68,-115.5771667,33.1928333,3.733
"M 1.3 - 8km SW of Niland, CA",1.33,-115.5791667,33.1956667,0.203
"M 0.5 - 8km SW of Niland, CA",0.5,-115.5796667,33.1906667,0.273
"M 1.4 - 20km SW of Ocotillo, CA",1.43,-116.1553333,32.616,8.048
"M 1.2 - 8km SW of Niland, CA",1.22,-115.584,33.1963333,2.743
"M 0.7 - 8km SW of Niland, CA",0.7,-115.5805,33.1913333,0.273
"M 1.3 - 14km NW of Progreso, B.C., MX",1.3,-115.68,32.6798333,4.873
"M 0.7 - 9km ENE of Aguanga, CA",0.67,-116.7821667,33.4796667,12.102
"M 0.5 - 7km SW of Niland, CA",0.5,-115.5766667,33.1985,0.274
"M 2.0 - 4km E of Panorama City, CA",2.01,-118.4071667,34.2243333,11.07
"M 0.6 - 10km SW of Niland, CA",0.6,-115.606,33.182,0.123
"M 1.3 - 1km WSW of Encino, CA",1.3,-118.5095,34.156,7.128
"M 0.9 - 9km WNW of San Jacinto, CA",0.88,-117.0431667,33.8168333,15.087
"M 0.4 - 21km SW of La Quinta, CA",0.38,-116.453,33.5193333,6.477
"M 1.3 - 23km S of Twentynine Palms, CA",1.3,-116.0471667,33.93,4.285
"M 1.5 - 6km SW of Imperial, CA",1.49,-115.6115,32.8116667,12.894
"M 0.9 - 10km ESE of Cabazon, CA",0.87,-116.6885,33.888,12.446
"M 0.7 - 4km NE of View Park-Windsor Hills, CA",0.7,-118.3171667,34.0183333,11.395
"M 0.6 - 3km SSW of Idyllwild, CA",0.57,-116.7303333,33.713,16.412
"M 0.4 - 10km S of Idyllwild, CA",0.38,-116.7023333,33.6516667,12.537
"M 1.9 - 20km ESE of Anza, CA",1.86,-116.482,33.4823333,13.434
"M 0.7 - 2km E of Lake Henshaw, CA",0.72,-116.7363333,33.2396667,3.684
"M 1.3 - 6km WNW of Calimesa, CA",1.3,-117.1071667,34.0085,15.056
"M 2.0 - 3km SE of Progreso, B.C., MX",1.95,-115.5543333,32.5625,13.626
"M 1.3 - 20km NE of Big Bear City, CA",1.34,-116.6805,34.3858333,1.392
"M 1.8 - 15km N of Yucca Valley, CA",1.84,-116.427,34.2478333,3.555
"M 2.1 - 11km NW of Progreso, B.C., MX",2.14,-115.6485,32.6611667,7.908
"M 1.6 - 9km NNW of Progreso, B.C., MX",1.63,-115.6361667,32.6501667,8.088
"M 1.0 - 9km SW of Idyllwild, CA",0.96,-116.7921667,33.6895,15.408
"M 1.5 - 19km ESE of Anza, CA",1.46,-116.486,33.4868333,13.314
"M 1.2 - 19km ESE of Anza, CA",1.22,-116.4846667,33.4976667,14.404
"M 1.1 - 1km ESE of Progreso, B.C., MX",1.09,-115.5738333,32.5766667,5.868
"M 0.2 - 12km ESE of Anza, CA",0.24,-116.5541667,33.5233333,9.475
"M 0.7 - 18km ESE of Anza, CA",0.67,-116.4861667,33.4996667,14.374
"M 1.6 - 3km ESE of Progreso, B.C., MX",1.56,-115.5575,32.5701667,4.148
"M 1.1 - 3km NE of Progreso, B.C., MX",1.06,-115.5661667,32.6,5.603
"M 1.1 - 22km SW of Ocotillo Wells, CA",1.11,-116.318,33.02,9.124
"M 1.3 - 2km E of Progreso, B.C., MX",1.27,-115.5603333,32.5805,5.918
"M 0.7 - 7km NNW of Cabazon, CA",0.66,-116.8095,33.9765,4.514
"M 1.9 - 10km NW of Progreso, B.C., MX",1.89,-115.645,32.6513333,5.038
"M 1.5 - 9km NNW of Progreso, B.C., MX",1.46,-115.6351667,32.6476667,5.333
"M 0.6 - 14km WNW of Anza, CA",0.55,-116.8181667,33.6013333,13.119
"M 1.9 - 9km NNW of Progreso, B.C., MX",1.9,-115.6388333,32.6495,4.608
"M 0.6 - 14km WNW of Anza, CA",0.62,-116.8161667,33.6036667,12.876
"M 1.7 - 11km NW of Progreso, B.C., MX",1.66,-115.6576667,32.6608333,4.733
"M 1.3 - 12km NW of Progreso, B.C., MX",1.26,-115.661,32.6631667,5.013
"M 1.0 - 12km NW of Progreso, B.C., MX",1.0,-115.6653333,32.6608333,4.953
"M 1.9 - 11km NW of Progreso, B.C., MX",1.86,-115.6593333,32.6605,4.563
"M 1.3 - 10km NW of Progreso, B.C., MX",1.26,-115.644,32.6555,6.408
"M 0.3 - 8km W of Calipatria, CA",0.3,-115.6038333,33.1283333,4.199
"M 1.3 - 13km NW of Progreso, B.C., MX",1.27,-115.6616667,32.6735,4.733
"M 0.8 - 14km WNW of Anza, CA",0.75,-116.8151667,33.5988333,12.876
"M 0.7 - 14km WNW of Anza, CA",0.68,-116.8173333,33.6001667,13.506
"M 1.4 - 11km NW of Progreso, B.C., MX",1.37,-115.6556667,32.661,6.673
"M 1.7 - 7km NW of Progreso, B.C., MX",1.66,-115.6373333,32.6218333,3.513
"M 2.4 - 10km NW of Progreso, B.C., MX",2.43,-115.6443333,32.6521667,5.038
"M 0.9 - 11km NW of Progreso, B.C., MX",0.87,-115.6506667,32.6585,5.063
"M 1.8 - 10km NW of Progreso, B.C., MX",1.83,-115.6475,32.6538333,5.018
"M 1.8 - 9km NW of Progreso, B.C., MX",1.84,-115.6435,32.6481667,4.628
"M 2.4 - 10km NW of Progreso, B.C., MX",2.38,-115.6501667,32.654,4.908
"M 1.9 - 10km NW of Progreso, B.C., MX",1.91,-115.6445,32.649,3.938
"M 2.2 - 10km NNW of Progreso, B.C., MX",2.23,-115.642,32.6565,5.088
"M 1.2 - 23km S of Twentynine Palms, CA",1.17,-116.0516667,33.9301667,2.585
"M 2.7 - 11km NW of Progreso, B.C., MX",2.74,-115.6518333,32.6596667,4.968
"M 1.4 - 9km NW of Progreso, B.C., MX",1.43,-115.6415,32.6466667,7.063
"M 1.6 - 8km NW of Progreso, B.C., MX",1.59,-115.6351667,32.6431667,4.943
"M 1.8 - 4km NNW of Progreso, B.C., MX",1.76,-115.6043333,32.6071667,6.663
"M 1.5 - 5km NNW of Progreso, B.C., MX",1.5,-115.606,32.6175,6.153
"M 1.4 - 7km NE of Westmorland, CA",1.43,-115.5626667,33.0713333,8.349
"M 1.9 - 10km NW of Progreso, B.C., MX",1.92,-115.6451667,32.6513333,4.703
"M 1.8 - 6km NW of Progreso, B.C., MX",1.8,-115.6253333,32.621,4.463
"M 0.9 - 8km NW of Progreso, B.C., MX",0.94,-115.6301667,32.6378333,5.303
"M 1.6 - 9km NNW of Progreso, B.C., MX",1.64,-115.6355,32.6513333,5.173
"M 2.2 - 9km NW of Progreso, B.C., MX",2.17,-115.643,32.6426667,4.978
"M 0.8 - 13km ESE of Ocotillo, CA",0.76,-115.8585,32.7083333,3.193
"M 1.9 - 10km NW of Progreso, B.C., MX",1.88,-115.646,32.6563333,5.193
"M 1.5 - 10km NNW of Progreso, B.C., MX",1.45,-115.6446667,32.6575,5.498
"M 1.3 - 21km ESE of Anza, CA",1.26,-116.4536667,33.4998333,8.347
"M 1.2 - 10km NW of Progreso, B.C., MX",1.22,-115.6471667,32.6495,4.613
"M 1.4 - 8km NW of Progreso, B.C., MX",1.42,-115.6313333,32.6386667,5.123
"M 0.8 - 7km ENE of Borrego Springs, CA",0.78,-116.2988333,33.273,9.329
"M 0.9 - 11km NW of Progreso, B.C., MX",0.91,-115.6516667,32.657,4.553
"M 2.4 - 10km NNW of Progreso, B.C., MX",2.36,-115.6393333,32.6543333,5.418
"M 0.7 - 7km NNE of Lake Henshaw, CA",0.74,-116.7336667,33.2983333,16.369
"M 0.7 - 14km ESE of Anza, CA",0.68,-116.5425,33.4841667,11.119
"M 2.0 - 11km NNW of Progreso, B.C., MX",2.0,-115.6425,32.6668333,14.483
"M 2.2 - 9km WSW of Beaumont, CA",2.21,-117.0645,33.8891667,16.005
"M 1.4 - 9km NW of Progreso, B.C., MX",1.39,-115.6386667,32.6481667,4.613
"M 1.2 - 14km S of Big Bear Lake, CA",1.18,-116.9161667,34.1143333,8.368
"M 0.8 - 11km NW of Progreso, B.C., MX",0.84,-115.6545,32.6568333,4.493
"M 0.4 - 7km SSW of Idyllwild, CA",0.36,-116.7473333,33.684,17.956
"M 1.8 - 11km NW of Progreso, B.C., MX",1.82,-115.6476667,32.6583333,5.253
"M 0.5 - 5km NW of Aguanga, CA",0.5,-116.896,33.4776667,4.755
"M 1.8 - 10km NNW of Progreso, B.C., MX",1.76,-115.64,32.6518333,5.203
"M 1.1 - 9km NNW of Progreso, B.C., MX",1.14,-115.6396667,32.6503333,4.633
"M 1.1 - 9km ESE of Temecula, CA",1.14,-117.0571667,33.4746667,10.344
"M 0.7 - 8km E of Temecula, CA",0.66,-117.0578333,33.4873333,13.144
"M 0.7 - 9km ESE of Temecula, CA",0.66,-117.0598333,33.4721667,10.094
"M 0.3 - 11km WNW of Calipatria, CA",0.3,-115.6145,33.1706667,0.384
"M 1.3 - 2km SW of Cabazon, CA",1.33,-116.8023333,33.9023333,15.123
